"name","title","gender","age","culture","dateOfBirth","house","father","mother","heir","spouse","book1","book2","book3","book4","book5","isAliveMother","isAliveFather","isAliveHeir","isAliveSpouse","isMarried","isNoble","numDeadRelations","popularity","deadOrAlive"
"Wyl Waynwood","","female",NA,"",NA,"House Waynwood","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"dead"
"Wun Weg Wun Dar Wun","","male",NA,"",NA,"","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.0501672240802675,"alive"
"Wylla","","male",NA,"",NA,"House Dayne","","","","",1,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0267558528428093,"alive"
"Wynafryd Manderly","","female",25,"",280,"House Manderly","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,0,0.0568561872909698,"alive"
"Xhondo","","male",NA,"Summer Isles",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.020066889632107,"alive"
"Ygon Farwynd","","male",NA,"",NA,"House Farwynd of the Lonely Light","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Yna","","male",NA,"",NA,"Happy Port","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.020066889632107,"alive"
"Yohn Farwynd","","male",NA,"Ironborn",NA,"House Farwynd of the Lonely Light","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Yorkel","","female",NA,"",NA,"House Targaryen","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,"alive"
"Yorko Terys","","male",NA,"Braavosi",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0234113712374581,"alive"
"Yormwell","Maester","female",NA,"",NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.00334448160535117,"alive"
"Young Henly","","male",59,"",240,"Night's Watch","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"dead"
"Ysilla","","female",NA,"",NA,"","","","","Yandry",0,0,0,0,1,NA,NA,NA,1,1,0,0,0.040133779264214,"alive"
"Zarabelo","Archmaester","female",NA,"",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.00668896321070234,"alive"
"Zei","","female",NA,"",NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Zekko","Khal","male",NA,"Dothraki",NA,"","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Zharaq zo Loraq","","male",NA,"Ghiscari",NA,"House of Loraq","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Wenda","","female",NA,"",NA,"Kingswood Brotherhood","","","","",0,0,1,1,0,NA,NA,NA,NA,0,0,0,0.0167224080267558,"alive"
"Wex Pyke","","male",19,"Ironborn",286,"House Botley","","","","",0,1,1,1,1,NA,NA,NA,NA,0,0,0,0.113712374581939,"alive"
"Timett","red hand","male",27,"Vale mountain clans",278,"Burned Men","","","","",1,1,1,0,1,NA,NA,NA,NA,0,1,0,0.0735785953177257,"alive"
"Laenor Velaryon","Ser","male",26,"Valyrian",94,"House Velaryon","","","","Rhaenyra Targaryen",0,0,0,0,0,NA,NA,NA,1,1,1,0,0.193979933110367,"dead"
"Leobald Tallhart","Castellan","male",NA,"Northmen",NA,"House Tallhart","","","","Berena Hornwood",0,1,1,1,1,NA,NA,NA,1,1,1,0,0.110367892976588,"dead"
"Maegor I Targaryen","","male",NA,"",NA,"","Aegon I Targaryen","Visenya Targaryen","Jaehaerys Targaryen","",0,0,0,0,0,0,0,1,NA,0,0,0,0.705685618729097,"dead"
"Margaery Tyrell","Seven Kingdoms","female",22,"Reach",283,"House Tyrell","","","","Renly Baratheon",1,1,1,1,1,NA,NA,NA,0,1,1,3,1,"alive"
"Naerys Targaryen","PrincessQueen","female",100,"Valyrian",138,"House Targaryen","","","","Aegon IV Targaryen",1,0,0,0,0,NA,NA,NA,0,1,1,12,0.220735785953177,"dead"
"Quence","","female",NA,"Braavosi",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.020066889632107,"alive"
"Quellon Botley","","male",NA,"Ironborn",NA,"House Botley","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0468227424749163,"alive"
"Quellon Greyjoy","Lord of the Iron Islands","male",NA,"Ironborn",NA,"House Greyjoy","","","","Stonetree",0,0,0,1,0,NA,NA,NA,1,1,1,0,0.0903010033444816,"dead"
"Quentyn Blackwood","Lord","female",NA,"",NA,"House Blackwood","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.020066889632107,"dead"
"Quenton Greyjoy","","male",NA,"Ironborn",NA,"House Greyjoy","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.060200668896321,"alive"
"Quhuru Mo","","male",NA,"Summer Isles",NA,"","","","","",0,1,0,1,0,NA,NA,NA,NA,0,0,0,0.040133779264214,"alive"
"Quickfinger","","male",NA,"",NA,"House Blackfyre","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Quill","","male",NA,"Braavosi",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0167224080267558,"alive"
"Quentin Tyrell","Ser","female",NA,"",NA,"House Tyrell","","","","",0,0,1,1,0,NA,NA,NA,NA,0,1,0,0.127090301003344,"alive"
"Quort","","male",14,"",285,"wildling","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0100334448160535,"dead"
"Qyle","","male",NA,"",NA,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"dead"
"Rafe","","female",NA,"",NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.00668896321070234,"alive"
"Racallio Ryndoon","","male",NA,"Tyroshi",NA,"Kingdom of the Three Daughters","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Ragnor Pyke","","female",NA,"Ironborn",NA,"House Greyjoy","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Rainbow Knight","","female",NA,"",NA,"","","","","",1,0,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Randa","","female",NA,"",NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Rast","","male",NA,"",NA,"Night's Watch","","","","",1,1,1,0,0,NA,NA,NA,NA,0,0,0,0.0668896321070234,"dead"
"Rawney","Brother","male",NA,"",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.0100334448160535,"alive"
"Raymar Royce","Lord","male",NA,"",NA,"House Royce of the Gates of the Moon","","","","",0,0,1,0,0,NA,NA,NA,NA,0,1,0,0.0133779264214046,"alive"
"Raymond Nayland","Ser","female",NA,"",NA,"House Nayland","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.0167224080267558,"alive"
"Raymund Tyrell","","female",NA,"",NA,"House Tyrell","","","","",0,0,1,1,0,NA,NA,NA,NA,0,0,0,0.127090301003344,"alive"
"Red Oarsman","","female",NA,"Ironborn",NA,"","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,0,0.0167224080267558,"alive"
"Red Lamb","Ser","male",NA,"Lhazarene",NA,"House Targaryen","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,"alive"
"Redtusk","Ser","male",NA,"",NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.0167224080267558,"alive"
"Red Rolfe","","male",NA,"",NA,"House Greyjoy","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"dead"
"Redwyn","","female",NA,"",NA,"Night's Watch","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.00668896321070234,"alive"
"Reynard Webber","Lord of Coldmoat","female",NA,"",NA,"House Webber","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.00668896321070234,"alive"
"Reysen","","male",NA,"",NA,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.0234113712374581,"alive"
"Rhaegel Targaryen","Prince of Dragonstone","male",42,"Valyrian",173,"House Targaryen","","","","Alys Arryn",0,0,0,0,0,NA,NA,NA,1,1,1,3,0.0969899665551839,"dead"
"Rhaena Targaryen (daughter of Daemon)","Lady","female",100,"",116,"House Targaryen","","","","Corwyn Corbray",0,0,0,0,0,NA,NA,NA,1,1,1,0,0.1438127090301,"dead"
"Rhaena Targaryen (daughter of Aegon III)","PrincessSepta","female",100,"Valyrian",147,"House Targaryen","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.0735785953177257,"dead"
"Rhaenys Targaryen","Queen","female",35,"Valyrian",-25,"House Targaryen","","","","Aegon I Targaryen",1,0,0,0,0,NA,NA,NA,0,1,1,1,0.277591973244147,"dead"
"Rhaenys Targaryen (daughter of Rhaegar)","Princess","female",3,"",280,"House Targaryen","","","","",1,1,1,1,1,NA,NA,NA,NA,0,1,10,0.244147157190635,"dead"
"Rhialta Vance","","female",NA,"",NA,"House Vance of Wayfarer's Rest","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0167224080267558,"alive"
"Rhaenys Targaryen (daughter of Aemon)","Princess","female",55,"Valyrian",74,"House Targaryen","","","","Corlys Velaryon",0,0,0,0,0,NA,NA,NA,0,1,1,0,0.1438127090301,"dead"
"Rhonda Rowan","","female",NA,"",NA,"House Rowan","","","","Baelor Hightower",0,0,0,1,0,NA,NA,NA,1,1,0,0,0.0501672240802675,"alive"
"Richard Farrow","Ser","female",NA,"",NA,"House Farrow","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.0167224080267558,"dead"
"Richard Lonmouth","Ser","male",NA,"",NA,"House Lonmouth","","","","",0,0,1,0,0,NA,NA,NA,NA,0,1,0,0.0234113712374581,"alive"
"Rigney","Archmaester","male",NA,"",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.00334448160535117,"alive"
"Rob","","male",NA,"",NA,"House Osgrey","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Rickard Tyrell","","male",NA,"",NA,"House Tyrell","","","","",0,0,1,1,0,NA,NA,NA,NA,0,0,0,0.123745819397993,"alive"
"Robb Reyne","Ser","male",NA,"",NA,"House Reyne","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.00668896321070234,"alive"
"Robert Ashford","Ser","male",NA,"Reach",NA,"House Ashford","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.0234113712374581,"alive"
"Robert Brax (son of Flement)","","male",15,"",290,"House Brax","","","","",0,1,1,1,0,NA,NA,NA,NA,0,0,0,0.120401337792642,"alive"
"Robert Paege","Ser","female",NA,"",NA,"House Paege","","","","",0,0,1,0,0,NA,NA,NA,NA,0,1,0,0.0100334448160535,"alive"
"Robin","","male",NA,"",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0167224080267558,"alive"
"Robert Frey (son of Raymund)","","male",22,"",283,"House Frey","","","","",0,1,1,1,0,NA,NA,NA,NA,0,0,0,0.147157190635451,"alive"
"Robin Greyjoy","","male",NA,"Ironborn",NA,"House Greyjoy","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0635451505016722,"alive"
"Robin Hollard","","male",NA,"",NA,"House Hollard","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0267558528428093,"alive"
"Rodrik Freeborn","","male",NA,"Ironborn",NA,"","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Roelle","Septa","female",NA,"",NA,"House Tarth","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,"alive"
"Rodrik Stark (son of Beron)","","male",NA,"Northmen",NA,"House Stark","","","","Arya Flint",0,0,0,0,1,NA,NA,NA,1,1,0,0,0.100334448160535,"alive"
"Roger of Pennytree","","male",NA,"",NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.0301003344481605,"dead"
"Roggo","","female",NA,"Braavosi",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Roger Ryswell","","male",NA,"Northmen",NA,"House Ryswell","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,0,0.0468227424749163,"alive"
"Rolder","","male",NA,"",NA,"House Lannister","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,"alive"
"Roland Crakehall (Kingsguard)","Ser","male",NA,"",NA,"House Crakehall","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.020066889632107,"alive"
"Rolfe","","male",NA,"",NA,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Rolland Darklyn","Ser","male",NA,"",NA,"House Darklyn","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.0100334448160535,"alive"
"Rollam Westerling","","male",15,"",290,"House Westerling","","","","",0,0,1,1,0,NA,NA,NA,NA,0,0,0,0.0434782608695652,"alive"
"Romny Weaver","","male",NA,"Ironborn",NA,"House Weaver","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.020066889632107,"alive"
"Ronald Storm","","male",NA,"",NA,"House Connington","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.040133779264214,"alive"
"Ronnel Stout","","female",NA,"Northmen",NA,"House Stout","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0334448160535117,"alive"
"Ronnel Harclay","","female",NA,"",NA,"House Harclay","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Roone","","male",19,"",286,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.040133779264214,"alive"
"Roone (maester)","Maester","male",NA,"",NA,"","","","","",0,0,1,1,0,NA,NA,NA,NA,0,1,0,0.0100334448160535,"alive"
"Roryn Drumm","","female",NA,"Ironborn",NA,"House Drumm","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Roose Ryswell","","male",NA,"Northmen",NA,"House Ryswell","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,0,0.0301003344481605,"alive"
"Rosamund Lannister","","female",NA,"",NA,"House Lannister of Lannisport","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,0,0.0234113712374581,"alive"
"Rosey","","female",21,"",284,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0301003344481605,"alive"
"Rowan","","male",NA,"Free folk",NA,"","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.060200668896321,"dead"
"Rudge","","female",NA,"",NA,"Night's Watch","","","","",1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,"alive"
"Runciter","Grand Maester","male",NA,"",NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.244147157190635,"dead"
"Rupert Crabb","Ser","female",NA,"",NA,"House Crabb","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.00668896321070234,"alive"
"Rus","","female",NA,"Ironmen",NA,"Drowned men","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Rusty Flowers","","male",NA,"",NA,"Night's Watch","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,"alive"
"Ryam","Archmaester","male",NA,"",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.0133779264214046,"alive"
"Ryk","","male",NA,"Free folk",NA,"","","","","Munda",0,0,1,1,1,NA,NA,NA,1,1,0,0,0.0267558528428093,"alive"
"Ryles","","female",NA,"",NA,"Night's Watch","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"dead"
"Rymolf","","female",NA,"Ironborn",NA,"House Greyjoy","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,"alive"
"S'vrone","","female",NA,"Braavosi",NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Saathos","","female",NA,"",NA,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Sailor's Wife","","female",NA,"",NA,"Happy Port","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.0468227424749163,"alive"
"Sallor","","male",NA,"Qartheen",NA,"Stormcrows","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0301003344481605,"dead"
"Salloreon","","male",NA,"",NA,"Antler Men","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Sam Stoops","","male",NA,"",NA,"House Osgrey","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Samwell Spicer","Ser","male",NA,"",NA,"House Spicer","","","","",0,0,1,1,0,NA,NA,NA,NA,0,1,0,0.0133779264214046,"alive"
"Sargon Botley","","male",NA,"Ironborn",NA,"House Botley","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0535117056856187,"alive"
"Scarb","","female",NA,"",NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.00668896321070234,"alive"
"Sawwood","","male",NA,"",NA,"Night's Watch","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Sedgekins","","female",NA,"",NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0,"alive"
"Sefton Staunton","Septon","male",NA,"",NA,"House Staunton","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.0301003344481605,"alive"
"Serra","","female",NA,"Lysene",NA,"","","","","Illyrio Mopatis",0,0,0,0,1,NA,NA,NA,1,1,0,0,0.0167224080267558,"alive"
"Sharna","","female",NA,"",NA,"","","","","Husband",0,0,1,1,0,NA,NA,NA,1,1,0,0,0.0367892976588628,"alive"
"Shella","","female",NA,"",NA,"","","","","",1,0,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Sherrit","King","female",NA,"",NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,1,0,0.00334448160535117,"alive"
"Shortear","","female",NA,"westermen",NA,"House Lannister","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Shyra","","female",NA,"Northmen",NA,"House Stark","","","","",0,1,0,1,0,NA,NA,NA,NA,0,0,0,0.020066889632107,"alive"
"Sigfry Stonetree","","male",NA,"Ironborn",NA,"House Stonetree","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Sigrin","","male",NA,"Ironborn",NA,"House Greyjoy","","","","",0,1,1,0,0,NA,NA,NA,NA,0,0,0,0.0234113712374581,"alive"
"Simon Leygood","Ser","female",NA,"",NA,"House Leygood","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.00334448160535117,"alive"
"Sky Blue Su","","female",NA,"",NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0,"alive"
"Skinner","","male",NA,"",NA,"House Bolton","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.0334448160535117,"alive"
"Skittrick","","female",NA,"Northmen",NA,"House Stark","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.00668896321070234,"alive"
"Skyte","","male",NA,"Ironborn",NA,"","","","","",0,1,1,1,0,NA,NA,NA,NA,0,0,0,0.0234113712374581,"alive"
"Sloey","","female",NA,"Braavosi",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0167224080267558,"alive"
"Spare Boot","","male",NA,"",NA,"Night's Watch","","","","",0,0,1,1,1,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Softfoot","","male",NA,"",NA,"Night's Watch","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.020066889632107,"dead"
"Spotted Pate of Maidenpool","","male",NA,"",NA,"Night's Watch","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"dead"
"Squint","","female",NA,"",NA,"House Greyjoy","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"dead"
"Squirrel","","female",NA,"Free Folk",NA,"","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.0434782608695652,"dead"
"Steffarion Sparr","","male",NA,"Ironborn",NA,"House Sparr","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.020066889632107,"alive"
"Stafford Lannister","Ser","male",53,"Westerman",246,"House Lannister","","","","Myranda Lefford",1,1,1,1,1,NA,NA,NA,1,1,1,1,0.170568561872909,"dead"
"Steffon Fossoway","Ser","male",NA,"",NA,"House Fossoway of Cider Hall","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.040133779264214,"alive"
"Steffon Hollard","Ser","female",NA,"",NA,"House Hollard","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.0267558528428093,"alive"
"Stannis Baratheon","","male",NA,"",NA,"","Steffon Baratheon","Cassana Estermont","Shireen Baratheon","",0,0,0,0,0,0,0,1,NA,0,0,4,1,"alive"
"Steffon Varner","Lord","male",NA,"",NA,"House Varner","","","","",0,1,0,0,0,NA,NA,NA,NA,0,1,0,0.0133779264214046,"alive"
"Stone Thumbs","","female",NA,"Free Folk",NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"dead"
"Stonehand","","female",NA,"Ironborn",NA,"","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Sybassion","","male",NA,"Qarth",NA,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Sylas","","female",NA,"",NA,"House Greyjoy","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.00668896321070234,"dead"
"Symon Stripeback","","male",NA,"",NA,"House Targaryen","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.0434782608695652,"alive"
"Symond Botley","","male",NA,"Ironborn",NA,"House Botley","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0468227424749163,"alive"
"Tagganaro","","male",NA,"Braavosi",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0301003344481605,"alive"
"Tal Toraq","","male",NA,"Summer Isles",NA,"House Targaryen","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.0234113712374581,"alive"
"Talea","","female",NA,"Braavosi",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.020066889632107,"alive"
"Talla Tarly","","male",NA,"",NA,"House Tarly","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.0702341137123745,"alive"
"Tansy","","female",NA,"",NA,"Peach","","","","",0,0,1,1,0,NA,NA,NA,NA,0,0,0,0.0234113712374581,"alive"
